zone,category,name,year,month,month_end,start_day,end_day
0,5,IAN 2022,2022,9,10,22,1
0,5,DORIAN 2019,2019,8,9,24,9
0,5,MICHAEL 2018,2018,10,10,6,15
0,5,IRMA 2017,2017,8,9,30,13
0,5,RITA 2005,2005,9,9,18,26
0,5,KATRINA 2005,2005,8,8,23,31
0,5,IVAN 2004,2004,9,9,2,24
0,5,ANDREW 1992,1992,8,8,16,28
0,5,ALLEN 1980,1980,7,8,31,11
0,5,CAMILLE 1969,1969,8,8,14,22
0,5,UNNAMED 1944,1944,9,9,9,16
0,4,IDALIA 2023,2023,8,9,26,8
0,4,MATTHEW 2016,2016,9,10,28,10
0,4,JOAQUIN 2015,2015,9,10,26,15
0,4,EARL 2010,2010,8,9,24,6
0,4,IKE 2008,2008,9,9,1,15
0,4,GUSTAV 2008,2008,8,9,25,5
0,4,DENNIS 2005,2005,7,7,4,18
0,4,FRANCES 2004,2004,8,9,25,10
0,4,CHARLEY 2004,2004,8,8,9,15
0,4,MICHELLE 2001,2001,10,11,29,6
0,4,FLOYD 1999,1999,9,9,7,19
0,4,OPAL 1995,1995,9,10,27,6
0,4,HUGO 1989,1989,9,9,10,25
0,4,FREDERIC 1979,1979,8,9,29,15
0,4,DONNA 1960,1960,8,9,29,14
0,4,GRACIE 1959,1959,9,10,20,2
0,4,HELENE 1958,1958,9,10,21,4
0,4,DAISY 1958,1958,8,8,23,31
0,4,IONE 1955,1955,9,9,10,27
0,4,HAZEL 1954,1954,10,10,5,18
0,4,FOX 1952,1952,10,10,20,28
0,4,KING 1950,1950,10,10,13,20
0,4,UNNAMED 1949,1949,8,9,23,1
0,4,UNNAMED 1948,1948,9,9,18,26
0,4,UNNAMED 1947,1947,9,9,4,21
0,4,UNNAMED 1945,1945,9,9,12,20
0,4,UNNAMED 1944,1944,10,10,12,24
0,3,IRENE 2011,2011,8,8,21,30
0,3,WILMA 2005,2005,10,10,15,26
0,3,JEANNE 2004,2004,9,9,13,29
0,3,LILI 2002,2002,9,10,21,4
0,3,ISIDORE 2002,2002,9,9,14,27
0,3,BONNIE 1998,1998,8,8,19,31
0,3,FRAN 1996,1996,8,9,23,10
0,3,KATE 1985,1985,11,11,15,23
0,3,ELENA 1985,1985,8,9,28,4
0,3,BELLE 1976,1976,8,8,6,10
0,3,ELOISE 1975,1975,9,9,13,24
0,3,INEZ 1966,1966,9,10,21,11
0,3,ALMA 1966,1966,6,6,5,14
0,3,BETSY 1965,1965,8,9,27,13
0,3,ISBELL 1964,1964,10,10,9,16
0,3,BETSY 1956,1956,8,8,9,21
0,3,CONNIE 1955,1955,8,8,3,15
0,3,EDNA 1954,1954,9,9,5,14
0,3,FLORENCE 1953,1953,9,9,23,27
0,3,EASY 1950,1950,9,9,1,9
0,3,ABLE 1950,1950,8,8,12,24
0,3,UNNAMED 1948(1),1948,10,10,3,16
0,3,UNNAMED 1948(2),1948,8,9,26,5
0,3,UNNAMED 1941,1941,10,10,3,13
0,2,IDA 2021,2021,8,9,26,4
0,2,DELTA 2020,2020,10,10,4,11
0,2,SALLY 2020,2020,9,9,11,18
0,2,HUMBERTO 2019,2019,9,9,12,20
0,2,SANDY 2012,2012,10,10,21,31
0,2,PAULA 2010,2010,10,10,11,15
0,2,IDA 2009,2009,11,11,4,11
0,2,DENNIS 1999,1999,8,9,24,8
0,2,GEORGES 1998,1998,9,10,15,1
0,2,EARL 1998,1998,8,9,31,8
0,2,DANIELLE 1998,1998,8,9,24,8
0,2,LILI 1996,1996,10,10,14,29
0,2,ERIN 1995,1995,7,8,31,6
0,2,GLORIA 1985,1985,9,10,16,2
0,2,DIANA 1984,1984,9,9,8,16
0,2,JEANNE 1980,1980,11,11,7,16
0,2,DAVID 1979,1979,8,9,25,8
0,2,GINGER 1971,1971,9,10,6,5
0,2,GLADYS 1968,1968,10,10,13,21
0,2,DORA 1964,1964,8,9,28,16
0,2,CLEO 1964,1964,8,9,20,11
0,2,CARLA 1961,1961,9,9,3,18
0,2,CAROL 1954,1954,8,9,25,1
0,2,CHARLIE 1952,1952,9,10,24,1
0,2,ABLE 1952,1952,8,9,18,3
0,2,UNNAMED 1949,1949,8,8,21,30
0,2,UNNAMED 1947,1947,10,10,8,16
0,2,UNNAMED 1946(1),1946,10,10,5,14
0,2,UNNAMED 1946(2),1946,9,9,12,17
0,2,UNNAMED 1945(1),1945,10,10,10,16
0,2,UNNAMED 1945(2),1945,6,7,20,4
0,2,UNNAMED 1942,1942,8,9,23,1
0,1,NICOLE 2022,2022,11,11,6,11
0,1,ELSA 2021,2021,6,7,30,10
0,1,ETA 2020,2020,10,11,31,14
0,1,LAURA 2020,2020,8,8,20,29
0,1,MARCO 2020,2020,8,8,20,25
0,1,ISAIAS 2020,2020,7,8,28,5
0,1,NATE 2017,2017,10,10,3,11
0,1,HERMINE 2016,2016,8,9,28,8
0,1,ARTHUR 2014,2014,6,7,28,9
0,1,NOEL 2007,2007,10,11,24,6
0,1,OPHELIA 2005,2005,9,9,6,23
0,1,GORDON 2000,2000,9,9,14,21
0,1,FLORENCE 2000,2000,9,9,10,17
0,1,IRENE 1999,1999,10,10,12,19
0,1,DANNY 1997,1997,7,7,16,27
0,1,BERTHA 1996,1996,7,7,5,17
0,1,ALLISON 1995,1995,6,6,3,11
0,1,GORDON 1994,1994,11,11,8,21
0,1,BOB 1991,1991,8,8,16,29
0,1,FLOYD 1987,1987,10,10,9,14
0,1,BOB 1985,1985,7,7,21,26
0,1,ALBERTO 1982,1982,6,6,2,6
0,1,KATRINA 1981,1981,11,11,3,7
0,1,GERT 1981,1981,9,9,7,15
0,1,KENDRA 1978,1978,10,11,28,3
0,1,AGNES 1972,1972,6,6,14,23
0,1,CELIA 1970,1970,7,8,31,5
0,1,LAURIE 1969,1969,10,10,17,27
0,1,KARA 1969,1969,10,10,7,19
0,1,ABBY 1968,1968,6,6,1,13
0,1,DORIA 1967,1967,9,9,4,21
0,1,GINNY 1963,1963,10,10,17,30
0,1,FLORA 1963,1963,9,10,28,17
0,1,UNNAMED 1962,1962,11,12,26,6
0,1,ELLA 1962,1962,10,10,14,25
0,1,JANICE 1958,1958,10,10,4,13
0,1,FLOSSY 1956,1956,9,10,20,3
0,1,DIANE 1955,1955,8,8,7,23
0,1,HAZEL 1953,1953,10,10,7,16
0,1,BARBARA 1953,1953,8,8,11,16
0,1,JIG 1951,1951,10,10,15,20
0,1,HOW 1951,1951,9,10,29,11
0,1,ABLE 1951,1951,5,5,16,24
0,1,LOVE 1950,1950,10,10,18,22
0,1,BAKER 1950,1950,8,9,18,1
0,1,UNNAMED 1948,1948,11,11,8,11
0,1,UNNAMED 1944(1),1944,9,9,19,22
0,1,UNNAMED 1944(2),1944,7,8,30,4
0,1,UNNAMED 1944(3),1944,7,7,13,20
0,1,UNNAMED 1942,1942,11,11,5,11
1,5,MICHAEL 2018,2018,10,10,6,15
1,5,RITA 2005,2005,9,9,18,26
1,5,KATRINA 2005,2005,8,8,23,31
1,5,IVAN 2004,2004,9,9,2,24
1,5,ALLEN 1980,1980,7,8,31,11
1,5,ANITA 1977,1977,8,9,29,3
1,5,CAMILLE 1969,1969,8,8,14,22
1,5,BEULAH 1967,1967,9,9,5,24
1,4,IDA 2021,2021,8,9,26,4
1,4,LAURA 2020,2020,8,8,20,29
1,4,HARVEY 2017,2017,8,9,16,2
1,4,DENNIS 2005,2005,7,7,4,18
1,4,LILI 2002,2002,9,10,21,4
1,4,BRET 1999,1999,8,8,18,25
1,4,OPAL 1995,1995,9,10,27,6
1,4,ANDREW 1992,1992,8,8,16,28
1,4,GILBERT 1988,1988,9,9,8,20
1,4,FREDERIC 1979,1979,8,9,29,15
1,4,CARMEN 1974,1974,8,9,29,10
1,4,CELIA 1970,1970,7,8,31,5
1,4,INEZ 1966,1966,9,10,21,11
1,4,BETSY 1965,1965,8,9,27,13
1,4,HILDA 1964,1964,9,10,28,7
1,4,CARLA 1961,1961,9,9,3,18
1,3,ZETA 2020,2020,10,10,24,30
1,3,DELTA 2020,2020,10,10,4,11
1,3,GUSTAV 2008,2008,8,9,25,5
1,3,EMILY 2005,2005,7,7,11,21
1,3,ISIDORE 2002,2002,9,9,14,27
1,3,KATE 1985,1985,11,11,15,23
1,3,ELENA 1985,1985,8,9,28,4
1,3,ALICIA 1983,1983,8,8,15,21
1,3,ELOISE 1975,1975,9,9,13,24
1,3,CAROLINE 1975,1975,8,9,24,1
1,3,ELLA 1970,1970,9,9,8,13
1,3,ETHEL 1960,1960,9,9,12,17
1,3,AUDREY 1957,1957,6,6,24,29
1,3,HILDA 1955,1955,9,9,12,20
1,3,FLORENCE 1953,1953,9,9,23,27
1,3,CHARLIE 1951,1951,8,8,12,23
1,3,UNNAMED 1945,1945,8,8,24,29
1,3,UNNAMED 1942,1942,8,9,23,1
1,3,UNNAMED 1941,1941,9,9,17,27
1,2,SALLY 2020,2020,9,9,11,18
1,2,ALEX 2010,2010,6,7,24,2
1,2,IDA 2009,2009,11,11,4,11
1,2,IKE 2008,2008,9,9,1,15
1,2,DOLLY 2008,2008,7,7,20,27
1,2,WILMA 2005,2005,10,10,15,26
1,2,GEORGES 1998,1998,9,10,15,1
1,2,EARL 1998,1998,8,9,31,8
1,2,ERIN 1995,1995,7,8,31,6
1,2,JEANNE 1980,1980,11,11,7,16
1,2,EDITH 1971,1971,9,9,5,18
1,2,ALICE 1954,1954,6,6,24,27
1,2,BAKER 1950,1950,8,9,18,1
1,2,UNNAMED 1949,1949,9,10,27,7
1,2,UNNAMED 1947,1947,9,9,4,21
1,2,UNNAMED 1945,1945,6,7,20,4
1,2,UNNAMED 1943(1),1943,9,9,15,20
1,2,UNNAMED 1943(2),1943,7,7,25,30
1,1,NICHOLAS 2021,2021,9,9,12,17
1,1,MARCO 2020,2020,8,8,20,25
1,1,HANNA 2020,2020,7,7,23,26
1,1,BARRY 2019,2019,7,7,10,16
1,1,NATE 2017,2017,10,10,3,11
1,1,HERMINE 2016,2016,8,9,28,8
1,1,INGRID 2013,2013,9,9,12,17
1,1,ISAAC 2012,2012,8,9,20,1
1,1,PAULA 2010,2010,10,10,11,15
1,1,HUMBERTO 2007,2007,9,9,12,14
1,1,CINDY 2005,2005,7,7,3,11
1,1,ERIKA 2003,2003,8,8,14,17
1,1,CLAUDETTE 2003,2003,7,7,7,17
1,1,KEITH 2000,2000,9,10,28,6
1,1,GORDON 2000,2000,9,9,14,21
1,1,DANNY 1997,1997,7,7,16,27
1,1,ROXANNE 1995,1995,10,10,7,21
1,1,ALLISON 1995,1995,6,6,3,11
1,1,JERRY 1989,1989,10,10,12,16
1,1,CHANTAL 1989,1989,7,8,30,3
1,1,FLORENCE 1988,1988,9,9,7,11
1,1,BONNIE 1986,1986,6,6,23,28
1,1,JUAN 1985,1985,10,11,26,1
1,1,DANNY 1985,1985,8,8,12,20
1,1,BARRY 1983,1983,8,8,23,29
1,1,BOB 1979,1979,7,7,9,16
1,1,BABE 1977,1977,9,9,3,9
1,1,AGNES 1972,1972,6,6,14,23
1,1,FERN 1971,1971,9,9,3,13
1,1,LAURIE 1969,1969,10,10,17,27
1,1,FERN 1967,1967,10,10,1,4
1,1,DEBRA 1959,1959,7,7,22,27
1,1,FLOSSY 1956,1956,9,10,20,3
1,1,GLADYS 1955,1955,9,9,3,6
1,1,LOVE 1950,1950,10,10,18,22
1,1,UNNAMED 1948,1948,9,9,1,6
1,1,UNNAMED 1947,1947,8,8,18,27
1,1,UNNAMED 1942,1942,8,8,17,23
2,5,UNNAMED 1944,1944,9,9,9,16
2,4,FRANKLIN 2023,2023,8,9,19,9
2,4,FIONA 2022,2022,9,9,14,27
2,4,FLORENCE 2018,2018,8,9,30,18
2,4,EARL 2010,2010,8,9,24,6
2,4,CHARLEY 2004,2004,8,8,9,15
2,4,FLOYD 1999,1999,9,9,7,19
2,4,HORTENSE 1996,1996,9,9,3,16
2,4,EDOUARD 1996,1996,8,9,19,6
2,4,HUGO 1989,1989,9,9,10,25
2,4,DIANA 1984,1984,9,9,8,16
2,4,GRACIE 1959,1959,9,10,20,2
2,4,HELENE 1958,1958,9,10,21,4
2,4,DAISY 1958,1958,8,8,23,31
2,4,IONE 1955,1955,9,9,10,27
2,4,HAZEL 1954,1954,10,10,5,18
2,3,IDALIA 2023,2023,8,9,26,8
2,3,HUMBERTO 2019,2019,9,9,12,20
2,3,DORIAN 2019,2019,8,9,24,9
2,3,MATTHEW 2016,2016,9,10,28,10
2,3,WILMA 2005,2005,10,10,15,26
2,3,BONNIE 1998,1998,8,8,19,31
2,3,FRAN 1996,1996,8,9,23,10
2,3,EMILY 1993,1993,8,9,22,6
2,3,BOB 1991,1991,8,8,16,29
2,3,ELLA 1978,1978,8,9,30,5
2,3,BELLE 1976,1976,8,8,6,10
2,3,GLADYS 1975,1975,9,10,22,4
2,3,BETSY 1965,1965,8,9,27,13
2,3,FRANCES 1961,1961,9,10,30,10
2,3,ESTHER 1961,1961,9,9,10,27
2,3,BETSY 1956,1956,8,8,9,21
2,3,CONNIE 1955,1955,8,8,3,15
2,3,EDNA 1954,1954,9,9,5,14
2,3,CAROL 1954,1954,8,9,25,1
2,3,CHARLIE 1952,1952,9,10,24,1
2,3,EASY 1950,1950,9,9,1,9
2,3,ABLE 1950,1950,8,8,12,24
2,3,UNNAMED 1948,1948,8,9,26,5
2,2,CHRIS 2018,2018,7,7,5,17
2,2,MARIA 2017,2017,9,10,16,2
2,2,ARTHUR 2014,2014,6,7,28,9
2,2,SANDY 2012,2012,10,10,21,31
2,2,IRENE 2011,2011,8,8,21,30
2,2,ALEX 2004,2004,7,8,31,6
2,2,ISABEL 2003,2003,9,9,6,20
2,2,IRENE 1999,1999,10,10,12,19
2,2,DENNIS 1999,1999,8,9,24,8
2,2,DANIELLE 1998,1998,8,9,24,8
2,2,BERTHA 1996,1996,7,7,5,17
2,2,GLORIA 1985,1985,9,10,16,2
2,2,JOSEPHINE 1984,1984,10,10,7,21
2,2,GERT 1981,1981,9,9,7,15
2,2,DAVID 1979,1979,8,9,25,8
2,2,GINGER 1971,1971,9,10,6,5
2,2,GERDA 1969,1969,9,9,7,12
2,2,GLADYS 1968,1968,10,10,13,21
2,2,FAITH 1966,1966,8,9,21,13
2,2,DORA 1964,1964,8,9,28,16
2,2,GINNY 1963,1963,10,10,17,30
2,2,ELLA 1962,1962,10,10,14,25
2,2,DONNA 1960,1960,8,9,29,14
2,2,EDNA 1953,1953,9,9,15,21
2,2,CAROL 1953,1953,8,9,28,9
2,2,ABLE 1952,1952,8,9,18,3
2,2,HOW 1951,1951,9,10,29,11
2,2,DOG 1950,1950,8,9,30,18
2,2,UNNAMED 1949(1),1949,8,9,23,1
2,2,UNNAMED 1949(2),1949,8,8,21,30
2,2,UNNAMED 1948(1),1948,10,10,3,16
2,2,UNNAMED 1948(2),1948,9,9,18,26
2,2,UNNAMED 1947,1947,10,10,8,16
2,2,UNNAMED 1946,1946,9,9,12,17
2,2,UNNAMED 1944,1944,10,10,12,24
2,1,IAN 2022,2022,9,10,22,1
2,1,HENRI 2021,2021,8,8,15,24
2,1,ISAIAS 2020,2020,7,8,28,5
2,1,JOSE 2017,2017,9,9,4,25
2,1,IRMA 2017,2017,8,9,30,13
2,1,GERT 2017,2017,8,8,12,18
2,1,KATE 2015,2015,11,11,8,13
2,1,CRISTOBAL 2014,2014,8,9,23,2
2,1,BERTHA 2014,2014,7,8,29,9
2,1,KATIA 2011,2011,8,9,28,12
2,1,NOEL 2007,2007,10,11,24,6
2,1,OPHELIA 2005,2005,9,9,6,23
2,1,JEANNE 2004,2004,9,9,13,29
2,1,GASTON 2004,2004,8,9,27,3
2,1,GUSTAV 2002,2002,9,9,8,15
2,1,GABRIELLE 2001,2001,9,9,11,21
2,1,MICHAEL 2000,2000,10,10,15,20
2,1,FLORENCE 2000,2000,9,9,10,17
2,1,FELIX 1995,1995,8,8,8,25
2,1,ERIN 1995,1995,7,8,31,6
2,1,GORDON 1994,1994,11,11,8,21
2,1,LILI 1990,1990,10,10,6,15
2,1,BERTHA 1990,1990,7,8,24,2
2,1,CHARLEY 1986,1986,8,8,13,30
2,1,KATE 1985,1985,11,11,15,23
2,1,BOB 1985,1985,7,7,21,26
2,1,DENNIS 1981,1981,8,8,7,22
2,1,KENDRA 1978,1978,10,11,28,3
2,1,DAWN 1972,1972,9,9,5,14
2,1,KARA 1969,1969,10,10,7,19
2,1,DOLLY 1968,1968,8,8,10,17
2,1,ABBY 1968,1968,6,6,1,13
2,1,DORIA 1967,1967,9,9,4,21
2,1,ALMA 1966,1966,6,6,5,14
2,1,ISBELL 1964,1964,10,10,9,16
2,1,GLADYS 1964,1964,9,9,13,25
2,1,CLEO 1964,1964,8,9,20,11
2,1,UNNAMED 1962,1962,11,12,26,6
2,1,ALMA 1962,1962,8,9,26,2
2,1,CLEO 1960,1960,8,8,17,21
2,1,JUDITH 1959,1959,10,10,14,22
2,1,CINDY 1959,1959,7,7,4,12
2,1,JANICE 1958,1958,10,10,4,13
2,1,DIANE 1955,1955,8,8,7,23
2,1,HAZEL 1953,1953,10,10,7,16
2,1,BARBARA 1953,1953,8,8,11,16
2,1,BAKER 1952,1952,8,9,31,10
2,1,JIG 1951,1951,10,10,15,20
2,1,ABLE 1951,1951,5,5,16,24
2,1,KING 1950,1950,10,10,13,20
2,1,UNNAMED 1948,1948,11,11,8,11
2,1,UNNAMED 1946(1),1946,10,10,5,14
2,1,UNNAMED 1946(2),1946,7,7,5,10
2,1,UNNAMED 1945(1),1945,10,10,10,16
2,1,UNNAMED 1945(2),1945,9,9,12,20
2,1,UNNAMED 1945(3),1945,6,7,20,4
2,1,UNNAMED 1944(1),1944,7,8,30,4
2,1,UNNAMED 1944(2),1944,7,7,13,20
2,1,UNNAMED 1941,1941,9,9,18,25
